# Raw Wintab pkTime read against GetTickCount64, one row per packet, taken on a Wacom DTH246
# on 13 Sep 2026 through Scribble.WinForms on the hi-res digitizer context.
#
# This is the measurement that settled pkTime's origin, which Wintab documents nowhere and
# which no stroke recording could answer -- StrokeRecorder writes times relative to the first
# point by design, so it carries no machine uptime at all.
#
# The answer: pkTime is counted on the GetTickCount64 epoch. Over 6217 packets spanning
# 41703ms, pkTime advanced 41703ms against 41703ms of wall clock, and the offset between the
# two stayed between -6ms and +34ms. The run contained a deliberate five-second pause with the
# pen away from the tablet: a counter that only advanced while packets arrived would have
# fallen five seconds behind across it, and this one did not.
#
# The negative end of that offset range is not noise. GetTickCount64 advances in steps of
# about 15.6ms while pkTime is finer, so a packet stamped just after a tick genuinely reads
# ahead of it. The median offset of 15ms is mostly that quantisation rather than delivery
# latency. The first version of the analysis subtracted in unsigned 32-bit arithmetic and
# reported that -1ms as 4294967295, declaring the clock unanchorable; the regression case for
# it is probe/tick-lags-pktime in --selftest-clock.
#
# What it changed: both Wintab sessions now anchor against the system clock instead of
# watching for a backward jump, so a wrap that happens while a session is stopped, or across a
# gap where the capture region discarded every packet, is recovered rather than missed.
#
pkTime,tickCount64
132281473,132281484
132281478,132281484
132281484,132281500
132281489,132281500
132281495,132281500
132281500,132281515
132281506,132281515
132281512,132281515
132281517,132281531
132281523,132281531
132281528,132281531
132281534,132281546
132281539,132281546
132281545,132281546
132281550,132281562
132281556,132281562
132281562,132281578
132281567,132281578
132281573,132281578
132281578,132281593
132281584,132281593
132281589,132281593
132281595,132281609
132281600,132281609
132281606,132281609
132281612,132281625
132281617,132281625
132281623,132281625
132281628,132281640
132281634,132281640
132281639,132281640
132281645,132281656
132281650,132281656
132281656,132281656
132281662,132281671
132281667,132281671
132281673,132281687
132281678,132281687
132281684,132281687
132281689,132281703
132281695,132281703
132281700,132281703
132281706,132281718
132281712,132281718
132281717,132281734
132281723,132281734
132281728,132281734
132281734,132281750
132281739,132281750
132281745,132281750
132281750,132281765
132281756,132281765
132281762,132281765
132281767,132281781
132281773,132281781
132281778,132281796
132281784,132281796
132281789,132281796
132281795,132281796
132281800,132281812
132281806,132281812
132281812,132281828
132281817,132281828
132281823,132281828
132281828,132281843
132281834,132281843
132281839,132281843
132281845,132281859
132281850,132281859
132281856,132281859
132281862,132281875
132281867,132281875
132281873,132281875
132281878,132281890
132281884,132281890
132281889,132281906
132281895,132281906
132281900,132281906
132281906,132281921
132281912,132281921
132281917,132281921
132281923,132281937
132281928,132281937
132281934,132281937
132281939,132281953
132281945,132281953
132281950,132281953
132281956,132281968
132281961,132281968
132281967,132281968
132281973,132281984
132281978,132281984
132281984,132282000
132281989,132282000
132281995,132282000
132282000,132282015
132282006,132282015
132282011,132282015
132282017,132282031
132282023,132282031
132282028,132282031
132282034,132282046
132282039,132282046
132282045,132282062
132282050,132282062
132282056,132282062
132282061,132282078
132282067,132282078
132282073,132282078
132282078,132282093
132282084,132282093
132282089,132282093
132282095,132282109
132282100,132282109
132282106,132282109
132282111,132282125
132282117,132282125
132282123,132282125
132282128,132282140
132282134,132282140
132282139,132282140
132282145,132282156
132282150,132282156
132282156,132282156
132282161,132282171
132282167,132282171
132282173,132282187
132282178,132282187
132282184,132282187
132282189,132282203
132282195,132282203
132282200,132282218
132282206,132282218
132282211,132282218
132282217,132282234
132282223,132282234
132282228,132282234
132282234,132282250
132282239,132282250
132282245,132282250
132282250,132282265
132282256,132282265
132282261,132282265
132282267,132282281
132282273,132282281
132282278,132282281
132282284,132282296
132282289,132282296
132282295,132282312
132282300,132282312
132282306,132282312
132282311,132282328
132282317,132282328
132282323,132282328
132282328,132282343
132282334,132282343
132282339,132282343
